#node,groups,status,statustime,appstatus,appstatustime,primarysn,comments,disable
"node1148","dell,farm,all","booting","05-19-2010 15:43:01",,,,,
"node1152","dell,farm,all","booting","06-14-2010 12:47:30",,,,,
"node1153","dell,farm,all","booting","05-19-2010 15:41:58",,,,,
"node1157","dell,farm,all","booting","05-19-2010 15:42:01",,,,,
"node1155","dell,farm,all","booting","05-19-2010 18:09:43",,,,,
"node1158","dell,farm,all","booting","05-20-2010 09:08:09",,,,,
"node1146","dell,farm,all","booting","05-20-2010 10:25:32",,,,,
"node1154","dell,farm,all","booting","05-20-2010 13:16:37",,,,,
"node1156","dell,farm,all","booting","05-24-2010 16:37:38",,,,,
"node1159","dell,farm,all","booting","05-23-2010 12:17:38",,,,,
"node1128","dell,farm,all","booting","05-24-2010 16:10:06",,,,,
"node1129","dell,farm,all","booting","05-25-2010 14:22:44",,,,,
"node1130","dell,farm,all","booting","05-24-2010 16:09:39",,,,,
"node1131","dell,farm,all","booting","05-24-2010 16:09:22",,,,,
"node1132","dell,farm,all","booting","05-24-2010 17:38:49",,,,,
"node1133","dell,farm,all","booting","05-24-2010 18:45:56",,,,,
"node1134","dell,farm,all","booting","05-24-2010 16:09:48",,,,,
"node1135","dell,farm,all","booting","05-25-2010 11:16:12",,,,,
"node1136","dell,farm,all","booting","05-24-2010 16:10:11",,,,,
"node1137","dell,farm,all","booting","05-24-2010 16:09:35",,,,,
"node1138","dell,farm,all","booting","05-24-2010 16:09:59",,,,,
"node1139","dell,farm,all","booting","05-24-2010 16:09:50",,,,,
"node1140","dell,farm,all","booting","05-24-2010 16:10:07",,,,,
"node1141","dell,farm,all","booting","05-24-2010 16:09:45",,,,,
"node1142","dell,farm,all","booting","05-24-2010 19:20:15",,,,,
"node1143","dell,farm,all","booting","05-24-2010 16:09:24",,,,,
"node144","ibm,farm,all","booting","06-01-2010 18:32:06",,,,,
"node142","ibm,farm,all","booting","06-01-2010 18:31:57",,,,,
"node143","ibm,farm,all","booting","06-01-2010 18:32:24",,,,,
"node145","ibm,farm,all","booting","06-01-2010 18:32:26",,,,,
"node146","ibm,farm,all","booting","06-01-2010 18:32:57",,,,,
"node147","ibm,farm,all","booting","06-01-2010 18:32:09",,,,,
"node149","ibm,farm,all","booting","06-01-2010 18:32:14",,,,,
"node152","ibm,farm,all","booting","06-01-2010 18:32:49",,,,,
"node153","ibm,farm,all","booting","06-01-2010 18:32:38",,,,,
"node154","ibm,farm,all","booting","06-01-2010 18:32:11",,,,,
"node155","ibm,farm,all","booting","05-27-2010 01:12:04",,,,,
"node157","ibm,farm,all","booting","05-27-2010 01:11:56",,,,,
"node158","ibm,farm,all","booting","05-27-2010 01:11:42",,,,,
"node160","ibm,farm,all","booting","05-27-2010 01:11:51",,,,,
"node161","ibm,farm,all","booting","05-27-2010 01:11:59",,,,,
"node164","ibm,farm,all","booting","05-27-2010 01:11:58",,,,,
"node168","ibm,farm,all","booting","05-27-2010 01:12:05",,,,,
"node183","ibm,farm,all","booting","06-02-2010 15:49:04",,,,,
"node184","ibm,farm,all","booting","06-02-2010 15:48:56",,,,,
"node186","ibm,farm,all","booting","06-02-2010 15:48:54",,,,,
"node188","ibm,farm,all","booting","06-02-2010 15:48:02",,,,,
"node189","ibm,farm,all","booting","06-02-2010 15:49:02",,,,,
"node191","ibm,farm,all","booting","06-02-2010 15:48:13",,,,,
"node195","ibm,farm,all","booting","06-02-2010 15:47:48",,,,,
"node196","ibm,farm,all","booting","06-02-2010 15:48:34",,,,,
"node201","ibm,farm,all","booting","06-01-2010 17:43:29",,,,,
"node205","ibm,farm,all","booting","06-01-2010 18:39:18",,,,,
"node208","ibm,farm,all","booting","06-01-2010 18:38:45",,,,,
"node210","ibm,farm,all","booting","06-01-2010 18:38:51",,,,,
"node213","ibm,farm,all","booting","06-01-2010 18:39:47",,,,,
"node214","ibm,farm,all","booting","06-02-2010 11:31:58",,,,,
"node151","ibm,farm,all","booting","06-01-2010 18:32:13",,,,,
"node159","ibm,farm,all","booting","05-27-2010 12:27:32",,,,,
"node190","ibm,farm,all","booting","06-02-2010 15:47:52",,,,,
"node202","ibm,farm,all","booting","06-01-2010 18:39:37",,,,,
"node207","ibm,farm,all","booting","06-01-2010 18:39:38",,,,,
"node141","ibm,farm,all","booting","06-01-2010 17:25:06",,,,,
"node165","ibm,farm,all","booting","05-27-2010 13:46:12",,,,,
"node148","ibm,farm,all","booting","06-01-2010 18:33:32",,,,,
"node150","ibm,farm,all","booting","06-01-2010 18:32:36",,,,,
"node185","ibm,farm,all","booting","06-02-2010 15:48:44",,,,,
"node187","ibm,farm,all","booting","06-02-2010 15:48:49",,,,,
"node192","ibm,farm,all","booting","06-02-2010 15:48:10",,,,,
"node194","ibm,farm,all","booting","06-02-2010 17:03:13",,,,,
"node203","ibm,farm,all","booting","06-01-2010 18:39:52",,,,,
"node204","ibm,farm,all","booting","06-01-2010 18:39:03",,,,,
"node209","ibm,farm,all","booting","06-01-2010 18:39:28",,,,,
"node1337","dell,farm,all","booting","05-29-2010 15:13:55",,,,,
"node231","ibm,farm,all","booting","06-02-2010 16:05:24",,,,,
"node229","ibm,farm,all","booting","06-01-2010 12:12:08",,,,,
"node232","ibm,farm,all","booting","06-01-2010 12:12:13",,,,,
"node233","ibm,farm,all","booting","06-01-2010 12:11:40",,,,,
"node234","ibm,farm,all","booting","06-01-2010 12:12:17",,,,,
"node235","ibm,farm,all","booting","06-01-2010 12:12:11",,,,,
"node238","ibm,farm,all","booting","06-01-2010 12:12:32",,,,,
"node239","ibm,farm,all","booting","06-01-2010 12:12:22",,,,,
"node240","ibm,farm,all","booting","06-01-2010 12:11:53",,,,,
"node241","ibm,farm,all","booting","06-01-2010 12:12:42",,,,,
"node242","ibm,farm,all","booting","06-01-2010 12:12:18",,,,,
"node1344","dell,farm,all","booting","06-01-2010 12:11:39",,,,,
"node1339","dell,farm,all","booting","06-01-2010 12:12:12",,,,,
"node1342","dell,farm,all","booting","06-01-2010 13:11:06",,,,,
"node1343","dell,farm,all","booting","06-01-2010 12:11:52",,,,,
"node156","ibm,farm,all","booting","06-01-2010 12:23:04",,,,,
"node166","ibm,farm,all","booting","06-01-2010 12:22:54",,,,,
"node167","ibm,farm,all","booting","06-01-2010 12:22:52",,,,,
"node236","ibm,farm,all","booting","06-01-2010 16:49:59",,,,,
"node341","ibm,farm,all","booting","06-02-2010 12:35:30",,,,,
"node342","ibm,farm,all","booting","06-02-2010 12:34:43",,,,,
"node343","ibm,farm,all","booting","06-02-2010 12:34:47",,,,,
"node344","ibm,farm,all","booting","06-02-2010 12:34:32",,,,,
"node345","ibm,farm,all","booting","06-02-2010 12:34:46",,,,,
"node346","ibm,farm,all","booting","06-02-2010 12:34:19",,,,,
"node347","ibm,farm,all","booting","06-02-2010 12:35:12",,,,,
"node348","ibm,farm,all","booting","06-02-2010 12:34:42",,,,,
"node349","ibm,farm,all","booting","06-02-2010 12:35:16",,,,,
"node351","ibm,farm,all","booting","06-02-2010 12:34:45",,,,,
"node352","ibm,farm,all","booting","06-02-2010 12:35:32",,,,,
"node353","ibm,farm,all","booting","06-02-2010 12:35:13",,,,,
"node354","ibm,farm,all","booting","06-02-2010 12:34:50",,,,,
"node397","ibm,farm,all","booting","06-02-2010 16:39:50",,,,,
"node398","ibm,farm,all","booting","06-02-2010 16:39:02",,,,,
"node399","ibm,farm,all","booting","06-02-2010 16:39:14",,,,,
"node400","ibm,farm,all","booting","06-02-2010 16:39:01",,,,,
"node401","ibm,farm,all","booting","06-02-2010 16:39:10",,,,,
"node402","ibm,farm,all","booting","06-02-2010 16:39:32",,,,,
"node403","ibm,farm,all","booting","06-02-2010 16:39:26",,,,,
"node405","ibm,farm,all","booting","06-02-2010 16:39:09",,,,,
"node406","ibm,farm,all","booting","06-02-2010 16:39:40",,,,,
"node407","ibm,farm,all","booting","06-02-2010 16:39:15",,,,,
"node408","ibm,farm,all","booting","06-02-2010 16:39:35",,,,,
"node444","ibm,farm,all","booting","06-03-2010 00:47:40",,,,,
"node449","ibm,farm,all","booting","06-03-2010 00:51:50",,,,,
"node450","ibm,farm,all","booting","06-03-2010 00:47:37",,,,,
"node451","ibm,farm,all","booting","06-03-2010 06:30:01",,,,,
"node439","ibm,farm,all","booting","06-02-2010 13:30:32",,,,,
"node440","ibm,farm,all","booting","06-02-2010 13:31:19",,,,,
"node441","ibm,farm,all","booting","06-02-2010 13:30:43",,,,,
"node443","ibm,farm,all","booting","06-02-2010 13:30:47",,,,,
"node428","ibm,farm,all","booting","06-02-2010 13:31:43",,,,,
"node429","ibm,farm,all","booting","06-02-2010 13:31:25",,,,,
"node430","ibm,farm,all","booting","06-02-2010 13:31:11",,,,,
"node434","ibm,farm,all","booting","06-02-2010 13:31:50",,,,,
"node445","ibm,farm,all","booting","06-03-2010 09:08:45",,,,,
"node447","ibm,farm,all","booting","06-03-2010 09:08:52",,,,,
"node425","ibm,farm,all","booting","06-03-2010 10:48:02",,,,,
"node426","ibm,farm,all","booting","06-03-2010 10:48:22",,,,,
"node431","ibm,farm,all","booting","06-03-2010 10:48:12",,,,,
"node438","ibm,farm,all","booting","06-03-2010 10:47:26",,,,,
"hardac","dell,farm,all","booting","06-07-2010 16:48:08",,,,,
"node432","ibm,farm,all","booting","06-05-2010 06:57:53",,,,,
"node446","ibm,farm,all","booting","06-05-2010 06:58:34",,,,,
"node448","ibm,farm,all","booting","06-05-2010 06:58:07",,,,,
"node453","ibm,farm,all","booting","06-05-2010 07:17:42",,,,,
"node454","ibm,farm,all","booting","06-05-2010 07:18:01",,,,,
"node455","ibm,farm,all","booting","06-05-2010 07:18:08",,,,,
"node456","ibm,farm,all","booting","06-07-2010 18:12:54",,,,,
"node457","ibm,farm,all","booting","06-05-2010 07:17:49",,,,,
"node459","ibm,farm,all","booting","06-09-2010 18:33:02",,,,,
"node460","ibm,farm,all","booting","06-05-2010 07:18:05",,,,,
"node462","ibm,farm,all","booting","06-05-2010 07:18:12",,,,,
"node463","ibm,farm,all","booting","06-05-2010 07:17:43",,,,,
"node464","ibm,farm,all","booting","06-05-2010 07:17:37",,,,,
"node465","ibm,farm,all","booting","06-05-2010 07:17:57",,,,,
"node466","ibm,farm,all","booting","06-05-2010 07:17:38",,,,,
"node1066","dell,farm,all","booting","06-07-2010 00:28:40",,,,,
"node1070","dell,farm,all","booting","06-07-2010 00:12:54",,,,,
"node1071","dell,farm,all","booting","06-05-2010 06:59:19",,,,,
"node1073","dell,farm,all","booting","06-05-2010 06:58:57",,,,,
"node1074","dell,farm,all","booting","06-05-2010 06:59:42",,,,,
"node1075","dell,farm,all","booting","06-05-2010 06:59:11",,,,,
"node1079","dell,farm,all","booting","06-07-2010 18:10:43",,,,,
"node427","ibm,farm,all","booting","06-08-2010 13:22:01",,,,,
"node433","ibm,farm,all","booting","06-08-2010 13:22:00",,,,,
"node435","ibm,farm,all","booting","06-08-2010 13:22:29",,,,,
"node437","ibm,farm,all","booting","06-08-2010 13:22:05",,,,,
"node442","ibm,farm,all","booting","06-08-2010 13:22:02",,,,,
"node452","ibm,farm,all","booting","06-08-2010 13:21:57",,,,,
"node458","ibm,farm,all","booting","06-08-2010 13:21:52",,,,,
"node461","ibm,farm,all","booting","06-08-2010 13:21:58",,,,,
"node1072","dell,farm,all","booting","06-08-2010 13:23:40",,,,,
"node1349","dell,farm,all","booting","06-08-2010 13:22:45",,,,,
"node1336","dell,farm,all","booting","06-08-2010 13:38:53",,,,,
"node1067","dell,farm,all","booting","06-10-2010 18:16:51",,,,,
"node1068","dell,farm,all","booting","06-09-2010 17:50:05",,,,,
"node1352","dell,farm,all","booting","06-14-2010 14:21:00",,,,,
"node1354","dell,farm,all","booting","06-10-2010 15:46:07",,,,,
"node1355","dell,farm,all","booting","06-10-2010 17:21:32",,,,,
"node1357","dell,farm,all","booting","06-14-2010 14:51:26",,,,,
"node1358","dell,farm,all","booting","06-10-2010 17:21:05",,,,,
"node1359","dell,farm,all","booting","06-10-2010 15:46:43",,,,,
"node1360","dell,farm,all","booting","06-10-2010 17:21:31",,,,,
"node1362","dell,farm,all","booting","06-10-2010 15:46:22",,,,,
"node1363","dell,farm,all","booting","06-10-2010 15:46:23",,,,,
"node404","ibm,farm,all","booting","06-10-2010 18:16:15",,,,,
"node409","ibm,farm,all","booting","06-10-2010 18:15:52",,,,,
"node1069","dell,farm,all","booting","06-10-2010 18:16:44",,,,,
"node1076","dell,farm,all","booting","06-10-2010 18:16:48",,,,,
"node1088","dell,farm,all","booting","06-10-2010 18:16:29",,,,,
"node1089","dell,farm,all","booting","06-10-2010 18:17:09",,,,,
"node1092","dell,farm,all","booting","06-10-2010 22:46:05",,,,,
"node1093","dell,farm,all","booting","06-10-2010 22:12:59",,,,,
"node1094","dell,farm,all","booting","06-10-2010 21:54:11",,,,,
"node1095","dell,farm,all","booting","06-10-2010 18:17:06",,,,,
"node1081","dell,farm,all","booting","06-10-2010 18:17:34",,,,,
"node1082","dell,farm,all","booting","06-14-2010 16:28:32",,,,,
"node1084","dell,farm,all","booting","06-10-2010 18:17:14",,,,,
"node1085","dell,farm,all","booting","06-10-2010 18:19:58",,,,,
"node1086","dell,farm,all","booting","06-10-2010 22:01:51",,,,,
"node1101","dell,farm,all","booting","06-10-2010 18:17:32",,,,,
"node1102","dell,farm,all","booting","06-10-2010 18:17:28",,,,,
"node1103","dell,farm,all","booting","06-10-2010 18:16:49",,,,,
"node1106","dell,farm,all","booting","06-10-2010 18:16:32",,,,,
"node1096","dell,farm,all","booting","06-10-2010 18:17:12",,,,,
"node1107","dell,farm,all","booting","06-10-2010 18:17:25",,,,,
"node1108","dell,farm,all","booting","06-10-2010 18:17:29",,,,,
"node1098","dell,farm,all","booting","06-10-2010 23:30:47",,,,,
"node1110","dell,farm,all","booting","06-10-2010 18:17:27",,,,,
"node1109","dell,farm,all","booting","06-10-2010 18:16:53",,,,,
"node1099","dell,farm,all","booting","06-10-2010 21:53:23",,,,,
"gsa1","farm,all","booting","06-11-2010 17:14:06",,,,,
"node1356","dell,farm,all","booting","06-14-2010 14:20:30",,,,,
"node1361","dell,farm,all","booting","06-14-2010 14:20:25",,,,,
"node1338","dell,farm,all","booting","06-14-2010 17:27:50",,,,,
"node1341","dell,farm,all","booting","06-14-2010 17:27:51",,,,,
"node1345","dell,farm,all","booting","06-14-2010 17:27:46",,,,,
"gsa2","farm,all","booting","06-14-2010 17:55:37",,,,,
"node372","ibm,farm,all","booting","06-16-2010 11:18:27",,,,,
"node373","ibm,farm,all","booting","06-14-2010 18:50:54",,,,,
"node374","ibm,farm,all","booting","06-14-2010 18:50:42",,,,,
"node376","ibm,farm,all","booting","06-14-2010 18:50:29",,,,,
"node378","ibm,farm,all","booting","06-14-2010 18:51:09",,,,,
"node380","ibm,farm,all","booting","06-14-2010 18:51:05",,,,,
"node379","ibm,farm,all","booting","06-14-2010 18:50:53",,,,,
"node381","ibm,farm,all","booting","06-14-2010 18:51:22",,,,,
"node370","ibm,farm,all","booting","06-14-2010 18:51:13",,,,,
"node371","ibm,farm,all","booting","06-14-2010 18:50:27",,,,,
"node377","ibm,farm,all","booting","06-14-2010 18:51:30",,,,,
"node382","ibm,farm,all","booting","06-14-2010 18:50:49",,,,,
"node410","ibm,farm,all","booting","06-14-2010 18:51:02",,,,,
"node1078","dell,farm,all","booting","06-14-2010 18:52:07",,,,,
"node1090","dell,farm,all","booting","06-14-2010 18:52:14",,,,,
"node1100","dell,farm,all","booting","06-15-2010 17:35:35",,,,,
"node1104","dell,farm,all","booting","06-14-2010 18:51:50",,,,,
"node1097","dell,farm,all","booting","06-14-2010 18:51:59",,,,,
"node1232","dell,farm,all","booting","06-17-2010 13:17:33",,,,,
"gsa3","hp,farm,all","booting","06-15-2010 15:59:48",,,,,
"node1353","dell,farm,all","booting","06-15-2010 16:06:18",,,,,
"node247","ibm,farm,all","booting","06-15-2010 18:28:50",,,,,
"node248","ibm,farm,all","booting","06-15-2010 18:29:08",,,,,
"node249","ibm,farm,all","booting","06-15-2010 18:29:02",,,,,
"gapdev01","dell,farm,all","booting","06-16-2010 09:57:23",,,,,
"node162","ibm,farm,all","installing","06-16-2010 19:35:15",,,,,
"node375","ibm,farm,all","booting","06-16-2010 11:18:18",,,,,
"node436","ibm,farm,all","booting","06-16-2010 11:18:24",,,,,
"node1080","dell,farm,all","booting","06-16-2010 11:19:39",,,,,
"node1111","dell,farm,all","booting","06-16-2010 11:19:20",,,,,
"node1364","dell,farm,all","booting","06-16-2010 11:19:13",,,,,
"node1366","dell,farm,all","booting","06-16-2010 11:18:48",,,,,
"node1367","dell,farm,all","booting","06-16-2010 11:19:03",,,,,
"node1401","dell,farm,all","booting","06-16-2010 11:18:36",,,,,
"node1402","dell,farm,all","booting","06-16-2010 11:19:01",,,,,
"node1403","dell,farm,all","booting","06-16-2010 11:18:22",,,,,
"node1404","dell,farm,all","booting","06-16-2010 11:18:51",,,,,
"node1405","dell,farm,all","booting","06-16-2010 11:19:00",,,,,
"node1406","dell,farm,all","booting","06-16-2010 11:18:46",,,,,
"node1407","dell,farm,all","booting","06-16-2010 11:19:05",,,,,
"node1065","dell,farm,all","installing","06-17-2010 18:38:29",,,,,
"node1077","dell,farm,all","installing","06-17-2010 18:38:33",,,,,
"node1087","dell,farm,all","installing","06-17-2010 18:38:38",,,,,
"node1091","dell,farm,all","installing","06-17-2010 18:38:43",,,,,
"node1365","dell,farm,all","installing","06-17-2010 18:38:48",,,,,
"node1400","dell,farm,all","installing","06-17-2010 18:19:10",,,,,
"node369","ibm,farm,all","installing","06-17-2010 18:53:02",,,,,
"node1105","dell,farm,all",,,,,,,
